long,lat,cat_id
-118.069717,33.91333,0
-118.071671,34.070831,0
-118.073059,33.913609,0
-118.080276,35.989719,0
-118.083611,33.826111,0
-118.084717,33.757778,0
-118.087502,33.756939,0
-118.09333,33.755001,0
-118.095284,36.021938,0
-118.101387,34.715561,0
-118.115829,34.485828,0
-118.1175,33.563889,0
-118.119438,33.775829,0
-118.126389,33.923328,0
-118.128891,33.5825,0
-118.133331,33.85083,0
-118.145561,34.647221,0
-118.146111,33.80722,0
-118.14917,34.08083,0
-118.150558,34.12389,0
-118.150833,35.05806,0
-118.15139,33.817501,0
-118.15361,34.037781,0
-118.15361,34.13361,0
-118.160561,33.986671,0
-118.169724,34.942219,0
-118.17083,34.172779,0
-118.17083,34.20472,0
-118.173889,34.19722,0
-118.185829,33.778889,0
-118.187218,33.808331,0
-118.194717,33.755001,0
-118.19944,33.764721,0
-118.19944,33.777779,0
-118.201668,34.05389,0
-118.202499,33.930279,0
-118.20472,34.650558,0
-118.205002,36.81361,0
-118.209167,34.87056,0
-118.212784,34.000832,0
-118.217499,34.20417,0
-118.218887,34.740829,0
-118.228333,34.039719,0
-118.229172,34.05444,0
-118.230003,34.151669,0
-118.230278,34.06028,0
-118.230827,35.381111,0
-118.235558,34.05806,0
-118.241112,34.052219,0
-118.2425,34.051109,0
-118.2425,34.054169,0
-118.243607,33.889999,0
-118.24472,34.051941,0
-118.24556,34.058609,0
-118.246109,34.05056,0
-118.246941,34.043331,0
-118.249168,34.044441,0
-118.250832,34.062222,0
-118.253326,34.049171,0
-118.253326,34.053612,0
-118.25444,34.047779,0
-118.25444,34.157219,0
-118.255829,34.05278,0
-118.256111,34.040279,0
-118.256393,34.15556,0
-118.256943,34.051392,0
-118.258057,34.03722,0
-118.259171,34.049171,0
-118.259438,34.077782,0
-118.261391,34.055561,0
-118.261673,33.834171,0
-118.262497,34.046391,0
-118.264442,34.053612,0
-118.264999,34.05444,0
-118.271667,34.041672,0
-118.272499,34.063889,0
-118.274719,33.749168,0
-118.275833,33.731941,0
-118.277222,33.856392,0
-118.277496,34.793892,0
-118.282501,34.103329,0
-118.283058,34.694439,0
-118.284721,34.157501,0
-118.287498,34.438061,0
-118.288063,34.28944,0
-118.290283,34.096111,0
-118.290283,34.09639,0
-118.291107,34.061939,0
-118.292221,34.069721,0
-118.301666,34.905281,0
-118.310562,33.738609,0
-118.311943,33.338329,0
-118.3125,33.856392,0
-118.312782,33.906109,0
-118.312782,34.503891,0
-118.316109,33.341671,0
-118.328888,34.15556,0
-118.33139,34.15361,0
-118.334999,33.922779,0
-118.339439,33.803329,0
-118.339722,33.843609,0
-118.342499,34.04694,0
-118.352219,34.0625,0
-118.35833,34.200562,0
-118.362778,33.922218,0
-118.366943,37.374439,0
-118.3675,37.365559,0
-118.375832,34.083328,0
-118.37722,34.073891,0
-118.380829,33.953331,0
-118.381393,33.852779,0
-118.382217,33.98,0
-118.382782,33.896938,0
-118.383888,34.281109,0
-118.38472,33.932499,0
-118.388329,33.760559,0
-118.393608,33.736938,0
-118.394997,33.916939,0
-118.396942,33.930279,0
-118.398064,33.930279,0
-118.400833,34.831669,0
-118.405563,35.70528,0
-118.406937,34.126671,0
-118.408058,33.942501,0
-118.412498,34.977219,0
-118.41333,34.25972,0
-118.414436,34.38139,0
-118.415833,33.40472,0
-118.417503,34.060829,0
-118.419167,35.71917,0
-118.419441,34.291111,0
-118.419724,35.728062,0
-118.422218,35.10083,0
-118.423058,35.10083,0
-118.424171,33.96611,0
-118.426941,33.914169,0
-118.432503,34.0625,0
-118.43972,35.135281,0
-118.44194,34.03611,0
-118.442497,34.064999,0
-118.443611,34.058891,0
-118.444717,34.04472,0
-118.445,34.047779,0
